02/18/2011,$-84.48,ESPRIT US ONLINE SHOP  877-377-7488  NY
02/18/2011,$19.00,PEACOCK INDIAN CUISINE MOUNTAIN VIEW CA
02/18/2011,$7.00,RELIANCE COMMUNICATION 8886735426    NY
02/18/2011,$17.44,BLOCKBUSTER INC#06343  MOUNTAIN VIEW CA
02/18/2011,$26.00,MADRAS CAFE            SUNNYVALE     CA
02/18/2011,$55.95,SHELL OIL 57444260004  MOUNTAIN VIEW CA
02/20/2011,$1.09,GALLUCCIS MUSEUM CAFE  TACOMA        WA
02/20/2011,$6.00,GALLUCCIS MUSEUM CAFE  TACOMA        WA
02/20/2011,$10.00,RPNW Tac Glass MusQQPS TACOMA        WA
02/20/2011,$5.00,MUSEUM OF GLASS        TACOMA        WA
02/20/2011,$19.12,MUSEUM OF GLASS        TACOMA        WA
02/21/2011,$2.20,SUBWAY        01466374 SEATTLE       WA
02/21/2011,$12.15,WSFERRIES-BR 888808797 SEATTLE       WA
02/21/2011,$15.00,TROPHY CUPCAKES & PART SEATTLE       WA
02/21/2011,$19.25,WSFERRIES-CD 888808797 SEATTLE       WA
02/22/2011,$1.35,SPECIALTY'S CAFE & BAK REDWOOD CITY  CA
02/22/2011,$10.95,VTS SAN FRANCISCO  QPS LONG ISLAND C NY
02/22/2011,$11.61,STARBUCKS N SA30592224 SEATTLE       WA
02/23/2011,$37.19,WHOLEFDS LAT 10155     LOS ALTOS     CA
02/23/2011,$44.49,INDIA FRESH        QPS MOUNTAIN VIEW CA
02/23/2011,$127.03,ATTM *436035469866     08003310500   GA
02/25/2011,$8.64,BLOCKBUSTER INC#06343  650-428-0923  CA
02/25/2011,$3.92,SPECIALTY'S CAFE & BAK SAN FRANCISCO CA
02/25/2011,$20.00,PEACOCK INDIAN CUISINE BELMONT       CA
02/25/2011,$25.49,TRINETRA INDIAN SUP    BELMONT       CA
02/26/2011,$28.82,INDIA CASH & CARRY     SUNNYVALE     CA
02/26/2011,$21.49,SAFEWAY  STORE00007054 MOUNTAIN VIEW CA
02/27/2011,$3.92,SPECIALTY'S CAFE & BAK SAN FRANCISCO CA
02/27/2011,$160.77,POTTERY BARN KIDS E-CO 800-290-8181  CA
03/01/2011,$364.00,ST OF CALIF DMV-INTERN 916-6578943   CA
03/01/2011,$6.97,SPECIALTY'S CAFE & BAK REDWOOD CITY  CA
03/01/2011,$200.00,MARRAKECH RESTAURANT   SAN FRANCISCO CA
03/02/2011,$2.45,STARBUCKS USA 00006080 SAN CARLOS    CA
03/02/2011,$3.00,CVS PHARMACY #7774 QPS MOUNTAIN VIEW CA
03/02/2011,$9.00,CALTRAIN TVM       QPS SAN CARLOS    CA
03/02/2011,$58.92,CHEVRON 0209937        FREMONT       CA
03/03/2011,$7.00,RELIANCE COMMUNICATION 8886735426    NY
03/03/2011,$9.00,CALTRAIN TVM       QPS SAN CARLOS    CA
03/04/2011,$21.84,NFI*WWW.NETFLIX.COM/CC 8005858131    CA
03/04/2011,$9.00,CALTRAIN TVM       QPS SAN CARLOS    CA
03/04/2011,$9.25,WALGREENS #689     QPS MOUNTAIN VIEW CA
03/04/2011,$28.45,PARK CLEANERS          MOUNTAIN VIEW CA
03/04/2011,$62.63,SAFEWAY  STORE00007054 MOUNTAIN VIEW CA
03/05/2011,$12.35,RANGOLI            QPS SANTA CLARA   CA
03/06/2011,$26.40,SAFEWAY STORE 00028878 SUNNYVALE     CA
03/06/2011,$20.00,WEB LAUNDRY CA 3005005 MOUNTAIN VIEW CA
03/08/2011,$13.00,AMBER CAFE             MOUNTAIN VIEW CA
03/10/2011,$45.00,SALON FINESSE          MOUNTAIN VIEW CA
03/10/2011,$15.32,SAFEWAY  STORE00007054 MOUNTAIN VIEW CA
03/11/2011,$42.50,WHOLEFDS LAT 10155     LOS ALTOS     CA
03/12/2011,$5.00,RELIANCE COMMUNICATION 8886735426    NY
03/12/2011,$12.27,ICHAAT CAFE & BAKERY   SUNNYVALE     CA
03/12/2011,$20.49,CHEVRON 0093535        SAN FRANCISCO CA
03/12/2011,$31.76,NAMASTE PLAZA      QPS SUNNYVALE     CA
03/12/2011,$31.84,VONAGE *PRICE+TAXES    866-243-4357  NJ
03/12/2011,$90.80,RUE LA LA              888-992-5252  MA
03/12/2011,$133.15,ZARA USA 3441          SAN FRANCISCO CA
03/13/2011,$149.95,IDEELI, INC.           08888351719   NY
03/14/2011,$109.95,IDEELI, INC.           08888351719   NY
03/14/2011,$15.28,CHAAT HOUSE #4     QPS SUNNYVALE     CA
03/16/2011,$151.00,AM RED CROSS DONATION  800-797-8022  DC
03/17/2011,$18.49,INTEREST CHARGED TO STANDARD PURCH
